text,label
This thing is 🔥🔥 fr,1
This thing is 💀👎,0
This thing is 🎧💯,1
This thing is 😤 trash,0
This thing is 💖,1
This thing is smh trash,0
This thing is 🤩🙌,1
This thing is don’t buy 💀,0
This thing is No cap 💯,1
This thing is 😭💸,0
This thing is 💯🔥,1
This thing is trash product,0
This thing is 😍💸,1
This thing is total L,0
This thing is mad easy to use,1
This thing is waste of $$,0
This thing is best case I’ve had,1
This thing is no good fr,0
This thing is super smooth,1
This thing is hate it,0
This thing is love it fr 💖,1
This thing is broke in a week 😤,0
This thing is no complaints 😎,1
This thing is super mid 😐,0
This thing is top tier product 💯,1
This thing is garbage 💩,0
This thing is dope af,1
This thing is this ain't it 💀,0
This thing is amazing value 💸,1
This thing is worst ever,0
This thing is total W,1
This thing is not worth 💸,0
This thing is perfect fit 🔥,1
This thing is 👎👎👎,0
This thing is best deal ever 💯,1
This thing is total scam,0
This thing is legit awesome 😍,1
This thing is bruh wtf,0
This thing is crazy good quality,1
This thing is 0/10,0
This thing is 5 stars ⭐⭐⭐⭐⭐,1
This thing is mid af,0
This thing is a must buy 💥,1
This thing is doesn’t work 🙄,0
This thing is crazy satisfied 😍,1
This thing is smh terrible,0
This thing is clean af 👌,1
This thing is junk fr,0
This thing is love it sm 💕,1
This thing is damn thing broke,0
This thing is totally worth it 🔥,1
This thing is broke instantly 💔,0
This thing is 10/10 would recommend,1
This thing is absolute trash 💩,0
This thing is flawless 💎,1
This thing is not even working,0
This thing is straight heat 🔥,1
This thing is big L fr,0
This thing is smooth like butter,1
This thing is garbage quality,0
This thing is makes life easier 💯,1
This thing is waste of time,0
This thing is must-have 💼,1
This thing is hella buggy,0
This thing is changed my life 💫,1
This thing is return-worthy,0
This thing is super dope,1
This thing is broke day 1,0
This thing is top notch 💯,1
This thing is major disappointment,0
This thing is highly recommend,1
This thing is not what I expected,0
This thing is GOATed,1
This thing is fell apart,0
This thing is 100% worth it,1
This thing is don’t waste money,0
This thing is insane deal,1
This thing is stopped working,0
This thing is game changer,1
This thing is regret buying it,0
This thing is just wow 🤯,1
This thing is trash tier,0
This thing is love this thing 💖,1
This thing is cheaply made,0
This thing is worth every penny 💰,1
This thing is nope,0
This thing is slick and fast,1
This thing is horrible experience,0
This thing is actually useful,1
This thing is wouldn’t buy again,0
This thing is solid pick,1
This thing is way too weak,0
This thing is the real deal,1
This thing is super annoying,0
This thing is extremely helpful,1
This thing is don’t like it,0
This thing is top shelf quality,1
This thing is pathetic,0
This thing is best I’ve used,1
This thing is very mid,0
This thing is exactly what I needed,1
This thing is lowkey bad,0
This thing is sleek af,1
This thing is broke instantly,0
This thing is phenomenal 💫,1
This thing is waste of space,0
This thing is fast and efficient,1
This thing is worst purchase,0
This thing is love the vibes,1
This thing is weak af,0
This thing is super efficient,1
This thing is doesn’t last,0
This thing is ultra reliable,1
This thing is hated it,0
This thing is perfect build,1
This thing is pain to use,0
This thing is simple and clean,1
This thing is super sus,0
This thing is lowkey fire,1
This thing is doodoo,0
This thing is built different,1
This thing is major letdown,0
This thing is rock solid,1
This thing is waste of energy,0
This thing is crazy responsive,1
This thing is fell apart fast,0
This thing is love the design,1
This thing is not even close,0
This thing is epic af,1
This thing is trash experience,0
This thing is buttery smooth,1
This thing is really bad idea,0
This thing is totally legit,1
This thing is cheap trash,0
This thing is next level,1
This thing is not it,0
This thing is can’t complain,1
This thing is nah bro,0
This thing is all-time fave,1
This thing is super glitchy,0
This thing is actually fire,1
This thing is worst choice,0
This thing is just amazing,1
This thing is dead on arrival,0
This thing is smooth setup,1
This thing is trash from start,0
This thing is dope product,1
This thing is return it asap,0
This thing is totally satisfying,1
This thing is disappointment fr,0
This thing is love how it works,1
This thing is ugly af,0
